clk:           0	 request_char: 0	 lfsr_to_ascii:   0	 ascii_to_fifo:  33	 fifo_out_to_uart:   0	 uart_done: 0	 s_out: 1
clk:      932411	 request_char: 1	 lfsr_to_ascii: 147	 ascii_to_fifo:  86	 fifo_out_to_uart: 107	 uart_done: 0	 s_out: 1
clk:      953247	 request_char: 1	 lfsr_to_ascii:  43	 ascii_to_fifo:  76	 fifo_out_to_uart: 107	 uart_done: 0	 s_out: 0
clk:      963665	 request_char: 1	 lfsr_to_ascii: 130	 ascii_to_fifo:  69	 fifo_out_to_uart: 107	 uart_done: 0	 s_out: 1
clk:      974083	 request_char: 1	 lfsr_to_ascii: 208	 ascii_to_fifo:  79	 fifo_out_to_uart: 107	 uart_done: 0	 s_out: 0
clk:      984501	 request_char: 1	 lfsr_to_ascii:  52	 ascii_to_fifo:  85	 fifo_out_to_uart: 107	 uart_done: 0	 s_out: 1
clk:     1005337	 request_char: 1	 lfsr_to_ascii: 123	 ascii_to_fifo:  62	 fifo_out_to_uart: 107	 uart_done: 0	 s_out: 0
clk:     1015755	 request_char: 1	 lfsr_to_ascii: 150	 ascii_to_fifo:  89	 fifo_out_to_uart: 107	 uart_done: 1	 s_out: 1
clk:     1036591	 request_char: 1	 lfsr_to_ascii:  77	 ascii_to_fifo: 110	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 0
clk:     1047009	 request_char: 1	 lfsr_to_ascii: 107	 ascii_to_fifo:  46	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 1
clk:     1057427	 request_char: 1	 lfsr_to_ascii: 146	 ascii_to_fifo:  85	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 0
clk:     1078263	 request_char: 1	 lfsr_to_ascii:  53	 ascii_to_fifo:  86	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 1
clk:     1119935	 request_char: 1	 lfsr_to_ascii:  96	 ascii_to_fifo:  35	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 0
clk:     1130353	 request_char: 1	 lfsr_to_ascii:  24	 ascii_to_fifo:  57	 fifo_out_to_uart: 121	 uart_done: 1	 s_out: 1
clk:     1151189	 request_char: 1	 lfsr_to_ascii: 241	 ascii_to_fifo: 112	 fifo_out_to_uart:  66	 uart_done: 0	 s_out: 0
clk:     1172025	 request_char: 1	 lfsr_to_ascii:  17	 ascii_to_fifo:  50	 fifo_out_to_uart:  66	 uart_done: 0	 s_out: 1
clk:     1182443	 request_char: 1	 lfsr_to_ascii: 124	 ascii_to_fifo:  63	 fifo_out_to_uart:  66	 uart_done: 0	 s_out: 0
clk:     1224115	 request_char: 1	 lfsr_to_ascii: 162	 ascii_to_fifo: 101	 fifo_out_to_uart:  66	 uart_done: 0	 s_out: 1
clk:     1234533	 request_char: 1	 lfsr_to_ascii: 216	 ascii_to_fifo:  87	 fifo_out_to_uart:  66	 uart_done: 0	 s_out: 0
clk:     1244951	 request_char: 1	 lfsr_to_ascii:  54	 ascii_to_fifo:  87	 fifo_out_to_uart:  66	 uart_done: 1	 s_out: 1
clk:     1265787	 request_char: 1	 lfsr_to_ascii:  71	 ascii_to_fifo: 104	 fifo_out_to_uart:  79	 uart_done: 0	 s_out: 0
clk:     1276205	 request_char: 1	 lfsr_to_ascii: 153	 ascii_to_fifo:  92	 fifo_out_to_uart:  79	 uart_done: 0	 s_out: 1
clk:     1317877	 request_char: 1	 lfsr_to_ascii:  84	 ascii_to_fifo: 117	 fifo_out_to_uart:  79	 uart_done: 0	 s_out: 0
clk:     1338713	 request_char: 1	 lfsr_to_ascii: 125	 ascii_to_fifo:  64	 fifo_out_to_uart:  79	 uart_done: 0	 s_out: 1
clk:     1349131	 request_char: 1	 lfsr_to_ascii: 103	 ascii_to_fifo:  42	 fifo_out_to_uart:  79	 uart_done: 0	 s_out: 0
clk:     1359549	 request_char: 1	 lfsr_to_ascii: 145	 ascii_to_fifo:  84	 fifo_out_to_uart:  79	 uart_done: 1	 s_out: 1
clk:     1380385	 request_char: 1	 lfsr_to_ascii:  23	 ascii_to_fifo:  56	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 0
clk:     1390803	 request_char: 1	 lfsr_to_ascii: 141	 ascii_to_fifo:  80	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 1
clk:     1401221	 request_char: 1	 lfsr_to_ascii:  91	 ascii_to_fifo: 124	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 0
clk:     1422057	 request_char: 1	 lfsr_to_ascii: 215	 ascii_to_fifo:  86	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 1
clk:     1463729	 request_char: 1	 lfsr_to_ascii:  95	 ascii_to_fifo:  34	 fifo_out_to_uart: 121	 uart_done: 0	 s_out: 0
clk:     1474147	 request_char: 1	 lfsr_to_ascii: 159	 ascii_to_fifo:  98	 fifo_out_to_uart: 121	 uart_done: 1	 s_out: 1
clk:     1494983	 request_char: 1	 lfsr_to_ascii: 163	 ascii_to_fifo: 102	 fifo_out_to_uart: 112	 uart_done: 0	 s_out: 0
clk:     1547073	 request_char: 1	 lfsr_to_ascii: 204	 ascii_to_fifo:  75	 fifo_out_to_uart: 112	 uart_done: 0	 s_out: 1
clk:     1578327	 request_char: 1	 lfsr_to_ascii:  33	 ascii_to_fifo:  66	 fifo_out_to_uart: 112	 uart_done: 0	 s_out: 0
clk:     1588745	 request_char: 1	 lfsr_to_ascii: 112	 ascii_to_fifo:  51	 fifo_out_to_uart: 112	 uart_done: 1	 s_out: 1
clk:     1609581	 request_char: 1	 lfsr_to_ascii:   7	 ascii_to_fifo:  40	 fifo_out_to_uart: 113	 uart_done: 0	 s_out: 0
clk:     1619999	 request_char: 1	 lfsr_to_ascii: 137	 ascii_to_fifo:  76	 fifo_out_to_uart: 113	 uart_done: 0	 s_out: 1
clk:     1630417	 request_char: 1	 lfsr_to_ascii:  90	 ascii_to_fifo: 123	 fifo_out_to_uart: 113	 uart_done: 0	 s_out: 0
clk:     1661671	 request_char: 1	 lfsr_to_ascii:  74	 ascii_to_fifo: 107	 fifo_out_to_uart: 113	 uart_done: 0	 s_out: 1
clk:     1692925	 request_char: 1	 lfsr_to_ascii:  50	 ascii_to_fifo:  83	 fifo_out_to_uart: 113	 uart_done: 0	 s_out: 0
clk:     1703343	 request_char: 1	 lfsr_to_ascii: 252	 ascii_to_fifo: 123	 fifo_out_to_uart: 113	 uart_done: 1	 s_out: 1
clk:     1724179	 request_char: 1	 lfsr_to_ascii: 135	 ascii_to_fifo:  74	 fifo_out_to_uart:  61	 uart_done: 0	 s_out: 0
clk:     1734597	 request_char: 1	 lfsr_to_ascii: 169	 ascii_to_fifo: 108	 fifo_out_to_uart:  61	 uart_done: 0	 s_out: 1
clk:     1745015	 request_char: 1	 lfsr_to_ascii:  82	 ascii_to_fifo: 115	 fifo_out_to_uart:  61	 uart_done: 0	 s_out: 0
clk:     1755433	 request_char: 1	 lfsr_to_ascii: 228	 ascii_to_fifo:  99	 fifo_out_to_uart:  61	 uart_done: 0	 s_out: 1
clk:     1797105	 request_char: 1	 lfsr_to_ascii:  67	 ascii_to_fifo: 100	 fifo_out_to_uart:  61	 uart_done: 0	 s_out: 0
clk:     1817941	 request_char: 1	 lfsr_to_ascii:  38	 ascii_to_fifo:  71	 fifo_out_to_uart:  61	 uart_done: 1	 s_out: 1
clk:     1838777	 request_char: 1	 lfsr_to_ascii:  70	 ascii_to_fifo: 103	 fifo_out_to_uart:  62	 uart_done: 0	 s_out: 0
clk:     1859613	 request_char: 1	 lfsr_to_ascii:  64	 ascii_to_fifo:  97	 fifo_out_to_uart:  62	 uart_done: 0	 s_out: 1
clk:     1911703	 request_char: 1	 lfsr_to_ascii:  30	 ascii_to_fifo:  63	 fifo_out_to_uart:  62	 uart_done: 0	 s_out: 0
clk:     1932539	 request_char: 1	 lfsr_to_ascii: 181	 ascii_to_fifo: 120	 fifo_out_to_uart:  62	 uart_done: 1	 s_out: 1
clk:     1953375	 request_char: 1	 lfsr_to_ascii: 109	 ascii_to_fifo:  48	 fifo_out_to_uart: 100	 uart_done: 0	 s_out: 0
clk:     1984629	 request_char: 1	 lfsr_to_ascii:  36	 ascii_to_fifo:  69	 fifo_out_to_uart: 100	 uart_done: 0	 s_out: 1
clk:     1995047	 request_char: 1	 lfsr_to_ascii:   9	 ascii_to_fifo:  42	 fifo_out_to_uart: 100	 uart_done: 0	 s_out: 0
clk:     2015883	 request_char: 1	 lfsr_to_ascii: 238	 ascii_to_fifo: 109	 fifo_out_to_uart: 100	 uart_done: 0	 s_out: 1
clk:     2036719	 request_char: 1	 lfsr_to_ascii: 186	 ascii_to_fifo: 125	 fifo_out_to_uart: 100	 uart_done: 0	 s_out: 0
clk:     2047137	 request_char: 1	 lfsr_to_ascii: 222	 ascii_to_fifo:  93	 fifo_out_to_uart: 100	 uart_done: 1	 s_out: 1
clk:     2067973	 request_char: 1	 lfsr_to_ascii: 185	 ascii_to_fifo: 124	 fifo_out_to_uart:  53	 uart_done: 0	 s_out: 0
clk:     2078391	 request_char: 1	 lfsr_to_ascii:  86	 ascii_to_fifo: 119	 fifo_out_to_uart:  53	 uart_done: 0	 s_out: 1
clk:     2088809	 request_char: 1	 lfsr_to_ascii: 229	 ascii_to_fifo: 100	 fifo_out_to_uart:  53	 uart_done: 0	 s_out: 0
clk:     2099227	 request_char: 1	 lfsr_to_ascii:  65	 ascii_to_fifo:  98	 fifo_out_to_uart:  53	 uart_done: 0	 s_out: 1
clk:     2109645	 request_char: 1	 lfsr_to_ascii: 104	 ascii_to_fifo:  43	 fifo_out_to_uart:  53	 uart_done: 0	 s_out: 0
clk:     2120063	 request_char: 1	 lfsr_to_ascii:  26	 ascii_to_fifo:  59	 fifo_out_to_uart:  53	 uart_done: 0	 s_out: 1
clk:     2140899	 request_char: 1	 lfsr_to_ascii: 205	 ascii_to_fifo:  76	 fifo_out_to_uart:  53	 uart_done: 0	 s_out: 0
clk:     2161735	 request_char: 1	 lfsr_to_ascii: 154	 ascii_to_fifo:  93	 fifo_out_to_uart:  53	 uart_done: 1	 s_out: 1
clk:     2182571	 request_char: 1	 lfsr_to_ascii: 197	 ascii_to_fifo:  68	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 0
clk:     2213825	 request_char: 1	 lfsr_to_ascii: 234	 ascii_to_fifo: 105	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 1
clk:     2255497	 request_char: 1	 lfsr_to_ascii:  48	 ascii_to_fifo:  81	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 0
clk:     2276333	 request_char: 1	 lfsr_to_ascii:   3	 ascii_to_fifo:  36	 fifo_out_to_uart:  60	 uart_done: 1	 s_out: 1
clk:     2297169	 request_char: 1	 lfsr_to_ascii:  34	 ascii_to_fifo:  67	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 0
clk:     2328423	 request_char: 1	 lfsr_to_ascii: 255	 ascii_to_fifo: 126	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 1
clk:     2370095	 request_char: 1	 lfsr_to_ascii: 108	 ascii_to_fifo:  47	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 0
clk:     2390931	 request_char: 1	 lfsr_to_ascii: 142	 ascii_to_fifo:  81	 fifo_out_to_uart:  60	 uart_done: 1	 s_out: 1
clk:     2411767	 request_char: 1	 lfsr_to_ascii: 188	 ascii_to_fifo:  59	 fifo_out_to_uart:  84	 uart_done: 0	 s_out: 0
clk:     2443021	 request_char: 1	 lfsr_to_ascii: 168	 ascii_to_fifo: 107	 fifo_out_to_uart:  84	 uart_done: 0	 s_out: 1
clk:     2453439	 request_char: 1	 lfsr_to_ascii:  42	 ascii_to_fifo:  75	 fifo_out_to_uart:  84	 uart_done: 0	 s_out: 0
clk:     2463857	 request_char: 1	 lfsr_to_ascii: 250	 ascii_to_fifo: 121	 fifo_out_to_uart:  84	 uart_done: 0	 s_out: 1
clk:     2474275	 request_char: 1	 lfsr_to_ascii: 206	 ascii_to_fifo:  77	 fifo_out_to_uart:  84	 uart_done: 0	 s_out: 0
clk:     2484693	 request_char: 1	 lfsr_to_ascii: 195	 ascii_to_fifo:  66	 fifo_out_to_uart:  84	 uart_done: 0	 s_out: 1
clk:     2495111	 request_char: 1	 lfsr_to_ascii: 184	 ascii_to_fifo: 123	 fifo_out_to_uart:  84	 uart_done: 0	 s_out: 0
clk:     2505529	 request_char: 1	 lfsr_to_ascii:  46	 ascii_to_fifo:  79	 fifo_out_to_uart:  84	 uart_done: 1	 s_out: 1
clk:     2526365	 request_char: 1	 lfsr_to_ascii: 182	 ascii_to_fifo: 121	 fifo_out_to_uart:  62	 uart_done: 0	 s_out: 0
clk:     2547201	 request_char: 1	 lfsr_to_ascii:  79	 ascii_to_fifo: 112	 fifo_out_to_uart:  62	 uart_done: 0	 s_out: 1
clk:     2599291	 request_char: 1	 lfsr_to_ascii: 223	 ascii_to_fifo:  94	 fifo_out_to_uart:  62	 uart_done: 0	 s_out: 0
clk:     2620127	 request_char: 1	 lfsr_to_ascii: 167	 ascii_to_fifo: 106	 fifo_out_to_uart:  62	 uart_done: 1	 s_out: 1
clk:     2640963	 request_char: 1	 lfsr_to_ascii:  80	 ascii_to_fifo: 113	 fifo_out_to_uart:  51	 uart_done: 0	 s_out: 0
clk:     2651381	 request_char: 1	 lfsr_to_ascii:  20	 ascii_to_fifo:  53	 fifo_out_to_uart:  51	 uart_done: 0	 s_out: 1
clk:     2672217	 request_char: 1	 lfsr_to_ascii: 121	 ascii_to_fifo:  60	 fifo_out_to_uart:  51	 uart_done: 0	 s_out: 0
clk:     2693053	 request_char: 1	 lfsr_to_ascii: 233	 ascii_to_fifo: 104	 fifo_out_to_uart:  51	 uart_done: 0	 s_out: 1
clk:     2713889	 request_char: 1	 lfsr_to_ascii: 224	 ascii_to_fifo:  95	 fifo_out_to_uart:  51	 uart_done: 0	 s_out: 0
clk:     2734725	 request_char: 1	 lfsr_to_ascii:  14	 ascii_to_fifo:  47	 fifo_out_to_uart:  51	 uart_done: 1	 s_out: 1
clk:     2755561	 request_char: 1	 lfsr_to_ascii: 180	 ascii_to_fifo: 119	 fifo_out_to_uart:  65	 uart_done: 0	 s_out: 0
clk:     2765979	 request_char: 1	 lfsr_to_ascii:  45	 ascii_to_fifo:  78	 fifo_out_to_uart:  65	 uart_done: 0	 s_out: 1
clk:     2776397	 request_char: 1	 lfsr_to_ascii: 115	 ascii_to_fifo:  54	 fifo_out_to_uart:  65	 uart_done: 0	 s_out: 0
clk:     2828487	 request_char: 1	 lfsr_to_ascii:  25	 ascii_to_fifo:  58	 fifo_out_to_uart:  65	 uart_done: 0	 s_out: 1
clk:     2838905	 request_char: 1	 lfsr_to_ascii: 126	 ascii_to_fifo:  65	 fifo_out_to_uart:  65	 uart_done: 0	 s_out: 0
clk:     2849323	 request_char: 1	 lfsr_to_ascii: 239	 ascii_to_fifo: 110	 fifo_out_to_uart:  65	 uart_done: 1	 s_out: 1
clk:     2870159	 request_char: 1	 lfsr_to_ascii: 164	 ascii_to_fifo: 103	 fifo_out_to_uart:  71	 uart_done: 0	 s_out: 0
clk:     2880577	 request_char: 1	 lfsr_to_ascii:  41	 ascii_to_fifo:  74	 fifo_out_to_uart:  71	 uart_done: 0	 s_out: 1
clk:     2911831	 request_char: 1	 lfsr_to_ascii:  59	 ascii_to_fifo:  92	 fifo_out_to_uart:  71	 uart_done: 0	 s_out: 0
clk:     2943085	 request_char: 1	 lfsr_to_ascii:  76	 ascii_to_fifo: 109	 fifo_out_to_uart:  71	 uart_done: 0	 s_out: 1
clk:     2953503	 request_char: 1	 lfsr_to_ascii:  19	 ascii_to_fifo:  52	 fifo_out_to_uart:  71	 uart_done: 0	 s_out: 0
clk:     2963921	 request_char: 1	 lfsr_to_ascii: 140	 ascii_to_fifo:  79	 fifo_out_to_uart:  71	 uart_done: 1	 s_out: 1
clk:     2984757	 request_char: 1	 lfsr_to_ascii: 128	 ascii_to_fifo:  67	 fifo_out_to_uart: 109	 uart_done: 0	 s_out: 0
clk:     2995175	 request_char: 1	 lfsr_to_ascii:  32	 ascii_to_fifo:  65	 fifo_out_to_uart: 109	 uart_done: 0	 s_out: 1
clk:     3005593	 request_char: 1	 lfsr_to_ascii:   8	 ascii_to_fifo:  41	 fifo_out_to_uart: 109	 uart_done: 0	 s_out: 0
clk:     3016011	 request_char: 1	 lfsr_to_ascii:   2	 ascii_to_fifo:  35	 fifo_out_to_uart: 109	 uart_done: 0	 s_out: 1
clk:     3036847	 request_char: 1	 lfsr_to_ascii:  60	 ascii_to_fifo:  93	 fifo_out_to_uart: 109	 uart_done: 0	 s_out: 0
clk:     3047265	 request_char: 1	 lfsr_to_ascii:  15	 ascii_to_fifo:  48	 fifo_out_to_uart: 109	 uart_done: 0	 s_out: 1
clk:     3068101	 request_char: 1	 lfsr_to_ascii: 170	 ascii_to_fifo: 109	 fifo_out_to_uart: 109	 uart_done: 0	 s_out: 0
clk:     3078519	 request_char: 1	 lfsr_to_ascii: 218	 ascii_to_fifo:  89	 fifo_out_to_uart: 109	 uart_done: 1	 s_out: 1
clk:     3099355	 request_char: 1	 lfsr_to_ascii: 193	 ascii_to_fifo:  64	 fifo_out_to_uart:  93	 uart_done: 0	 s_out: 0
clk:     3109773	 request_char: 1	 lfsr_to_ascii:  72	 ascii_to_fifo: 105	 fifo_out_to_uart:  93	 uart_done: 0	 s_out: 1
clk:     3120191	 request_char: 1	 lfsr_to_ascii:  18	 ascii_to_fifo:  51	 fifo_out_to_uart:  93	 uart_done: 0	 s_out: 0
clk:     3130609	 request_char: 1	 lfsr_to_ascii: 244	 ascii_to_fifo: 115	 fifo_out_to_uart:  93	 uart_done: 0	 s_out: 1
clk:     3161863	 request_char: 1	 lfsr_to_ascii: 149	 ascii_to_fifo:  88	 fifo_out_to_uart:  93	 uart_done: 0	 s_out: 0
clk:     3172281	 request_char: 1	 lfsr_to_ascii:  93	 ascii_to_fifo: 126	 fifo_out_to_uart:  93	 uart_done: 0	 s_out: 1
clk:     3182699	 request_char: 1	 lfsr_to_ascii: 111	 ascii_to_fifo:  50	 fifo_out_to_uart:  93	 uart_done: 0	 s_out: 0
clk:     3193117	 request_char: 1	 lfsr_to_ascii: 147	 ascii_to_fifo:  86	 fifo_out_to_uart:  93	 uart_done: 1	 s_out: 1
clk:     3213953	 request_char: 1	 lfsr_to_ascii:  43	 ascii_to_fifo:  76	 fifo_out_to_uart: 110	 uart_done: 0	 s_out: 0
clk:     3234789	 request_char: 1	 lfsr_to_ascii: 208	 ascii_to_fifo:  79	 fifo_out_to_uart: 110	 uart_done: 0	 s_out: 1
clk:     3266043	 request_char: 1	 lfsr_to_ascii: 123	 ascii_to_fifo:  62	 fifo_out_to_uart: 110	 uart_done: 0	 s_out: 0
clk:     3276461	 request_char: 1	 lfsr_to_ascii: 150	 ascii_to_fifo:  89	 fifo_out_to_uart: 110	 uart_done: 0	 s_out: 1
clk:     3297297	 request_char: 1	 lfsr_to_ascii:  77	 ascii_to_fifo: 110	 fifo_out_to_uart: 110	 uart_done: 0	 s_out: 0
clk:     3307715	 request_char: 1	 lfsr_to_ascii: 107	 ascii_to_fifo:  46	 fifo_out_to_uart: 110	 uart_done: 1	 s_out: 1
clk:     3328551	 request_char: 1	 lfsr_to_ascii: 212	 ascii_to_fifo:  83	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 0
clk:     3359805	 request_char: 1	 lfsr_to_ascii: 101	 ascii_to_fifo:  40	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 1
clk:     3370223	 request_char: 1	 lfsr_to_ascii:  97	 ascii_to_fifo:  36	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 0
clk:     3391059	 request_char: 1	 lfsr_to_ascii:  24	 ascii_to_fifo:  57	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 1
clk:     3401477	 request_char: 1	 lfsr_to_ascii:   6	 ascii_to_fifo:  39	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 0
clk:     3422313	 request_char: 1	 lfsr_to_ascii:  68	 ascii_to_fifo: 101	 fifo_out_to_uart:  36	 uart_done: 1	 s_out: 1
